taxon,life form,habitat,habit,clonality,perennial organ,plant min. height [m],plant max. height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf min. width [cm],leaf max. width [cm],leaf min. length [cm],leaf max. length [cm],bract colour,bracteole colour,inflorescence arrangement,inflorescence orientation,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,flower orientation,petal fusion,petal colour,petal min. width [cm],petal max. width [cm],calyx colour,calyx min. length [cm],calyx max. length [cm],corolla colour,corolla tube min. length [cm],corolla tube max. length [cm],corolla tube lipped,labellum colour,labellum min. width [cm],labellum max. width [cm],spur min. length [cm],spur max. length [cm],reproduction architecture,reproduction system,stamen number,stamen arrangement,stamenoid number,stamen min. length [cm],stamen max. length [cm],staminodium,pollen colour,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,reward,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,seed colour,seeds per fruit min,seeds per fruit max,seeds per fruit min.,seed min. width [mm],seed max. width [mm],seed min. length [mm],seed max. length [mm],seed min. diameter [mm],seed max. diameter [mm],dispersal mode,ploidy level (2n),root min. depth [cm],root max. depth [cm],source,wfo
Abildgaardia ovata,,,"erect leafy, erect leafy/tussock, herb",,,0.05 m,0.70 m,"glabrous, scabrous",,,,,,fukufirn,acute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.5 mm,3 mm,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000336880
Abronia alpina,perennial,,,,,,,glandular,,,,,,"orbiculate, orbicular, ovate",,,entire,0.3 cm,0.5 cm,0.4 cm,1 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511505
Abronia ameliae,perennial,,,,,,,"pubescent, glandular",,,,,,"repand, elliptic, ovate",,,"sinuate, undulate, repand",2 cm,6.5 cm,2 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511506
Abronia ammophila,perennial,,,,,,,"pubescent, glandular",,,,,,"oblong, rhombic, repand, elliptic",,,"undulate, entire, repand",0.6 cm,1.5 cm,1 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511507
Abronia angustifolia,"annual, perennial",,,,,,,pubescent,,,lobed,lobed,,"oblong, elliptic, ovate",,,"sinuate, undulate, entire",0.7 cm,3 cm,1 cm,5.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511509
Abronia argillosa,perennial,,,,,,,glabrous,,,,,,"obovate, repand, elliptic",,,"undulate, entire, repand",0.3 cm,1.5 cm,1.5 cm,3.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511514
Abronia bigelovii,perennial,epiphyte,tussock,,,,,"glabrous, pubescent",,,,,,"spatulate, oblanceolate, linear",,,entire,0.3 cm,0.4 cm,1.5 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511518
Abronia bolackii,perennial,,tussock,,,,,"glabrous, pubescent",,,,,,"ovate, oblong, elliptic",,,"sinuate, undulate, entire",0.5 cm,2 cm,1 cm,4 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511519
Abronia elliptica,perennial,,tussock,,,,,"glabrous, pubescent",,,,,,"oblong, elliptic, ovate",,,"sinuate, undulate, entire",0.5 cm,3.5 cm,1.5 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511532
Abronia fragrans,perennial,,,,,,,"villous, villouse, pubescent, glandular",,,,,,"lanceolate, ovate",acute,,"undulate, entire",1 cm,8 cm,3 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511536
Abronia latifolia,perennial,,,,,,,"glabrous, pubescent",,,,,,"reniform, repand, ovate",,,"undulate, entire, repand",2.7 cm,5.2 cm,2.2 cm,4.8 cm,"green, yellowish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511550
Abronia macrocarpa,perennial,,,,,,,"pubescent, glandular",,,,,,"repand, elliptic, ovate",,,"undulate, entire, repand",1.5 cm,3.5 cm,2 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511553
Abronia maritima,perennial,,,,,,,pubescent,,,,,,"oblong, obovate, repand, elliptic",,,"undulate, entire, repand",2.3 cm,4.3 cm,5 cm,6.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turbinate,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511555
Abronia mellifera,perennial,,,,,,,"glabrous, glandular",,,,,,"elliptic, ovate",,,"sinuate, undulate, entire",0.5 cm,4 cm,1 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511556
Abronia nana,perennial,,tussock,,,,,"glabrous, glandular",,,,,,"ovate, repand, lanceolate, elliptic",,,"undulate, entire, repand",0.2 cm,1.2 cm,0.4 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511562
Abronia pogonantha,annual,,,,,,,glandular,,,,,,ovate,,,"sinuate, undulate, entire",1.5 cm,3.5 cm,2 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511575
Abronia turbinata,"annual, perennial",,,,,,,"glabrous, glandular",,,,,,"orbiculate, orbicular, repand, ovate",,,"undulate, entire, repand",0.5 cm,3 cm,1 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511588
Abronia umbellata,annual,,,,,,,"villous, villouse, pubescent, glandular",,,,,,"repand, rhombic, elliptic, ovate",,,"undulate, entire, repand",0.8 cm,4.7 cm,1.5 cm,6.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511592
Abronia villosa,annual,,,,,,,"glabrous, glandular",,,,,,"elliptic, ovate",,,"sinuate, undulate, entire",1 cm,4.5 cm,1 cm,5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511604
Abutilon abutiloides,,,shrub,,,,,"stellate, hairy, pubescent, glandular",,,,,,"cordate, setiform, ovate","acuminate, truncate","cordate, truncate",,,,0.6 cm,0.8 cm,,,raceme,,,,,,,,erect,,,,,,,,"yellow, orange",1.0 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,3 mm,3 mm,,,,2n = 28,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511699
Abutilon berlandieri,,,shrub,,,,,"stellate, hairy, pubescent, glandular",,,,,,"cordate, setiform, ovate","acute, acuminate, truncate","cordate, truncate","crenate, serrate",2.5 cm,10 cm,0.3 cm,1.0 cm,,,,,,,,,,,erect,,,,,,,,"yellow, orange",1.0 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,3 mm,3 mm,,,,2n = 42,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511776
Abutilon coahuilae,,,shrub,,,,,"tomentose, hairy",,,,,,"cordate, setiform, ovate","acute, truncate","cordate, truncate",serrulate,4 cm,6 cm,0.3 cm,0.5 cm,,,,,,,,,,,,,,,,,,,yellow,1.0 cm,1.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511817
Abutilon fruticosum,,,shrub,,,,,"tomentose, stellate, hairy",,,,,,"cordate, setiform, ovate",acute,cordate,serrate,2 cm,10 cm,0.2 cm,0.2 cm,,,,,,,,,,,,,,,,,,,yellow,0.5 cm,1.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511912
Abutilon hulseanum,perennial,,"herb, shrub",,,,,"tomentose, stellate, hairy",,,,,,"cordate, orbicular, ovate, fukufirn",,cordate,crenate,,,0.8 cm,0.8 cm,,,,,,,,,,,erect,,,,,,,,"yellowish, pinkish",2.0 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,6.0,,,2 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511977
Abutilon hypoleucum,,,shrub,,,,,"tomentose, stellate, hairy",,,,,,"cordate, setiform, ovate","acute, acuminate",cordate,crenate,5 cm,11 cm,0.2 cm,0.4 cm,,,,,,,,,,,erect,,,,,,,,"yellow, orange",2.5 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2.5 mm,2.5 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511979
Abutilon incanum,,,shrub,,,,,tomentose,,,,,,"cordate, setiform, ovate","acute, acuminate",cordate,"crenate, serrulate",,,0.3 cm,0.3 cm,,,,,,,,,,,,,,,,,,,"pink, yellow, red",0.4 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000511986
Abutilon mollicomum,,,shrub,,,,,"stellate, hairy, hirsute",,,,,,"cordate, setiform, ovate",acuminate,cordate,"crenate, serrate",10 cm,20 cm,0.5 cm,0.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512109
Abutilon palmeri,,,shrub,,,,,"tomentose, stellate, hairy",,,lobed,lobed,,"cordate, ovate, fukufirn",acuminate,cordate,dentate,4 cm,8 cm,0.6 cm,0.9 cm,,,,,,,,,,,,,,,,,,,"yellow, orange",2.0 cm,2.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,3 mm,3 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512160
Abutilon parishii,,,shrub,,,,,"stellate, hairy",,,simple,appressed,,"cordate, setiform, ovate",acute,cordate,dentate,0.1 cm,0.1 cm,0.5 cm,0.5 cm,,,,,,,,,,,erect,,,,,,,,"yellow, pinkish, orange",0.8 cm,1.2 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2.5 mm,2.5 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512167
Abutilon parvulum,perennial,,"herb, shrub",,,,,"stellate, hairy, pubescent",,,,,,"cordate, setiform, ovate",acute,cordate,dentate,,,0.2 cm,0.4 cm,,,,,,,,,,,,,,,,,,,pinkish,0.4 cm,0.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512170
Abutilon permolle,,,shrub,,,,,"tomentose, stellate, hairy",,,,,,"cordate, lanceolate, ovate",acuminate,cordate,serrate,7 cm,12 cm,0.5 cm,0.7 cm,,,,,,,,,,,erect,,,,,,,,"yellow, orange",1.0 cm,1.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512187
Abutilon theophrasti,annual,,herb,,,,,"tomentose, stellate, hairy, pubescent",,,,,,"cordate, orbicular, lanceolate, ovate",acuminate,cordate,crenulate,,,8 cm,15 cm,,,"cyme, raceme",,,,,,,,erect,,,,,,,,yellow,0.8 cm,1.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,3 mm,4 mm,,,,2n = 84,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512325
Abutilon trisulcatum,"annual, perennial",,"herb, shrub",,,,,"tomentose, pubescent",,,,,,"cordate, setiform, ovate",acuminate,cordate,"serrulate, crenulate",,,0.2 cm,0.4 cm,,,,,,,,,,,erect,,,,,,,,"yellow, red",0.4 cm,0.6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2 mm,2 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512346
Abutilon wrightii,,,shrub,,,,,"stellate, hairy, pubescent",,,,,,"cordate, ovate, fukufirn","acute, obtuse",cordate,dentate,1.5 cm,4 cm,0.3 cm,0.4 cm,,,,,,,,,,,,,,,,,,,yellow,1.4 cm,1.8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,2.6 mm,2.6 mm,,,,2n = 14,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000512388
Acaena novae-zelandiae,,,"erect leafy, scrambler",stoloniferous,,,,"glabrous, pubescent",,,,,,"oblong, elliptic",,,"crenate, dentate",,,2 cm,11 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 cm,0.2 cm,,,,,,,,,,,,,,,,,,,,,,,,2n = 42,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001004320
Acaena pallida,,,erect leafy,stoloniferous,,,,pubescent,,,,,,oblong,,,dentate,,,2.5 cm,12 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.3 cm,0.4 cm,,,,,,,,,,,,,,,,,,,,,,,,2n = 42,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000985243
Acaena pinnatifida,,,,,,,,"sericeous, hairy, pubescent",,,,"pinnatisect, pinnatipartite",,"ovate, linear",,,revolute,,,3 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,0.2 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0001005319
Acalypha arvensis,annual,,herb,,,,,glandular,,,,,,"lanceolate, orbicular, rhombic, rounded","acute, obtuse","cuneate, rounded",serrate,1.2 cm,6.5 cm,2 cm,12 cm,,,,,"pistillate, bisexual",,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,terminal,,,,,,,ovoid,,,,,,,,1.1 mm,1.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000327404
Acalypha australis,annual,,herb,,,,,,,,,,,"lanceolate, ovate","acute, acuminate, obtuse",cuneate,serrate,1.5 cm,4 cm,2 cm,8 cm,,,,,"pistillate, staminate",,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,1.5 mm,1.8 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000333666
Acalypha californica,,,shrub,,,,,,,,,,,"cordate, orbicular, ovate, rounded","acute, truncate, obtuse","cordate, truncate, rounded","serrate, crenate",0.5 cm,4 cm,1 cm,5 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,2 mm,,,,2n = 20,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000722660
Acalypha chamaedrifolia,perennial,,herb,,,,,,,,,,,"orbiculate, ovate, rounded, cordate, orbicular","acute, obtuse","cordate, rounded","serrate, crenate",0.3 cm,1.2 cm,0.3 cm,2.1 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,1.2 mm,1.4 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000788394
Acalypha deamii,annual,,herb,,,,,,,,,,,"rhombic, ovate","acute, acuminate, obtuse",,serrate,2 cm,7 cm,4 cm,12 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,2.4 mm,3.2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000905276
Acalypha gracilens,annual,,herb,,,,,,,,simple,,,"oblong, lanceolate","acute, obtuse",cuneate,"serrate, crenate",0.4 cm,2 cm,1.7 cm,6 cm,red,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,1.1 mm,1.9 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000943296
Acalypha monococca,annual,,herb,,,,,,,,simple,,,"lanceolate, linear",acute,cuneate,serrate,0.3 cm,1.2 cm,1.7 cm,7 cm,red,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,1.6 mm,2.4 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000973185
Acalypha monostachya,perennial,,"herb, shrub",,,,,,,,,,,"orbiculate, reniform, rounded, cordate, orbicular",,"cordate, rounded",crenate,0.8 cm,2.5 cm,0.7 cm,2.5 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,"monoecious, dioecious",,,,,,,,,,,,,,,,,,,,,,,,1.5 mm,1.8 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000973290
Acalypha neomexicana,annual,,herb,,,,,,,,,asymmetric,,"orbicular, ovate, rounded",acute,rounded,"crenate, serrate",0.7 cm,2.7 cm,2 cm,5 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,1.2 mm,1.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000975794
Acalypha ostryifolia,annual,,herb,,,,,,,,,,,"cordate, ovate","acute, acuminate",cordate,serrate,1.5 cm,5 cm,3 cm,8 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,1.6 mm,2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000979275
Acalypha phleoides,perennial,,herb,,,,,,,,,,,"orbicular, rhombic, ovate, rounded","acute, acuminate",rounded,"serrate, crenate",1 cm,3 cm,2 cm,6 cm,,,,,"pistillate, staminate",,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,1.5 mm,2 mm,,,,2n = 40,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000217232
Acalypha poiretii,annual,,herb,,,,,,,,,,,"orbicular, elliptic, ovate, rounded","acute, obtuse",rounded,"serrate, crenate",1 cm,3.5 cm,2 cm,5 cm,,,,,"pistillate, staminate",,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,terminal,,,,,,,obovoid,,,,,,,,1.2 mm,1.5 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000219111
Acalypha radians,perennial,,"herb, shrub",,,,,,,,,,,"reniform, cordate, orbicular, rounded",,"cordate, rounded",crenate,0.8 cm,2 cm,0.5 cm,1.5 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,dioecious,,,,,,,,,,,,,,,,,,,,,,,,1.8 mm,2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000223950
Acalypha rhomboidea,annual,,herb,,,,,,,,,,,"rhombic, ovate","acute, acuminate, obtuse",,"crenate, serrate",0.8 cm,5 cm,2 cm,9 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,obovoid,,,,,,,,1.2 mm,2 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000227376
Acalypha setosa,annual,,herb,,,,,,,,,,,"orbicular, ovate, rounded","acuminate, truncate, obtuse","truncate, rounded",serrate,1.5 cm,8 cm,2.5 cm,10 cm,,,,,"pistillate, staminate",,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,"oblate, ellipsoidal",,,,,,,,1.2 mm,1.4 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000236239
Acalypha virginica,annual,,herb,,,,,,,,,,,"lanceolate, rhombic","acute, acuminate",,serrate,0.5 cm,4 cm,1 cm,11 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,1.2 mm,1.8 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000252165
Acalypha wilkesiana,,,shrub,,,,,,,,,,,"orbicular, elliptic, ovate, rounded","acuminate, obtuse",rounded,"serrate, crenate",4 cm,15 cm,9 cm,20 cm,,,,,pistillate,,,,,,,,,,,,,,,,,,,,,,,,monoecious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000254905
Acanthocereus tetragonus,,,"shrub, tree",,trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ovoid,red,,,,,,,,,,,,2n = 22,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000513101
Acanthospermum australe,,,,,,0.10 m,1.20 m,"glabrous, glabrescent",,,,,,"ovate, rhombic, deltate",,,,0.7 cm,3.2 cm,1.3 cm,3.7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ellipsoid, fusiform",,,,,,,,,,,,,2n = 22,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000114552
Acanthospermum hispidum,,,,,,0.10 m,0.60 m,pubescent,,,,,,"obovate, rhombic",,,,,,2.0 cm,15.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 22,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000068556
Acanthospermum humile,,,,,,0.10 m,0.30 m,"sericeous, pubescent",,,,,,ovate,,,,,,1.0 cm,4.5 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000009250
Achillea alpina,perennial,,,rhizomatous,,0.50 m,0.80 m,"villous, villouse, glabrous",,,,sessile,,"oblong, lanceolate",,,serrate,0.4 cm,0.8 cm,5 cm,10 cm,,,corymb,,,,,,,,,,,,,,,,"grayish, yellowish, white",0.1 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 36,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000033731
Achillea millefolium,perennial,,,"stoloniferous, rhizomatous",,0.06 m,0.65 m,"tomentose, woolly, glabrous",,,lobed,"lobed, sessile",,"oblong, lanceolate",,,,0.5 cm,3.5 cm,3.5 cm,35 cm,,,corymb,,,,,,,,,,,,,,,,"pink, purple, white, grayish",0.15 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 18, 27, 36, 45, 54, 63, 72",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000042097
Achillea nobilis,perennial,,,,,0.10 m,0.60 m,hairy,,,lobed,"sessile, lobed",,ovate,,auriculate,,1.0 cm,1.5 cm,1.5 cm,3 cm,,,corymb,,,,,,,,,,,,,,,,"grayish, white",0.1 cm,0.15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2n = 18, 27",,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000024466
Achillea ptarmica,perennial,,,rhizomatous,,0.30 m,0.60 m,"hairy, glabrous",,,simple,sessile,,"lanceolate, linear",,,serrulate,0.3 cm,0.5 cm,0.3 cm,1.0 cm,,,corymb,,,,,,,,,,,,,,,,"grayish, white",0.3 cm,0.3 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2n = 18,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000033807
Achyranthes aspera,"annual, perennial",,,,,,,pubescent,,,,,,"orbiculate, ovate, obovate, orbicular, rhombic, elliptic",,,,2 cm,6 cm,1 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000516177
Achyronychia cooperi,,,,,,,,,,,,,,,,,,,,0.3 cm,2.0 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9 mm,1.1 mm,,,,,,,efloras.flora_of_north_america,http://www.worldfloraonline.org/taxon/wfo-0000516555
